mid,cpu_cap,ram_cap,cpu_alloc,ram_alloc,cpu_req,ram_req,cpu_remain,ram_remain
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
0,2,4,1930,2873,1759,2591,171,282
1,4,8,3920,6176,3572,2836,348,3340
2,6,8,5915,6175,568,887,5347,5288
